"","names","IsWinner","Year","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"183","Drunk (And I Don't Wanna Go Home) - Elle King",0,2023,558167,0.00602,0.613,244493,0.881,0,"5",0.0954,-4.59,"1",119.98,"4",0.631
"184","Feels Like We Only Go Backwards - Tame Impala",0,2012,6574223,0.0277,0.303,192960,0.9,0.635,"2",0.11,-2.352,"0",149.508,"4",0.491
"185","Throne - Bring Me The Horizon",0,2015,4856358,0.000455,0.426,191520,0.888,0,"0",0.306,-3.72,"0",144.111,"4",0.387
"186","Holiday / Boulevard of Broken Dreams - Green Day",0,2004,14066349,0.000659,0.29,493400,0.827,2.55e-06,"8",0.301,-3.451,"1",167.086,"4",0.45
"187","TIRED OF WINNING - NOTHING MORE",0,2022,376861,6.95e-06,0.442,206587,0.947,0.00641,"6",0.805,-5.475,"0",94.501,"4",0.385
"188","Ball and Biscuit - The White Stripes",0,2003,2855807,0.0278,0.506,438551,0.655,0.173,"9",0.102,-7.21,"1",77.406,"4",0.612
"189","Crazy - Meredith Brooks",0,2004,117460,0.0603,0.676,232427,0.72,0,"7",0.348,-4.877,"1",83.014,"4",0.769
"190","Unwell - 2007 Remaster - Matchbox Twenty",0,2007,2350118,0.0456,0.442,237267,0.793,0,"9",0.328,-5.152,"1",80.985,"4",0.437
"191","Last Kiss - Pearl Jam",0,1999,8234883,0.363,0.622,195467,0.692,0.000158,"7",0.193,-6.97,"1",112.053,"4",0.774
"192","Stop Crying Your Heart Out - Oasis",0,2002,8744140,0.0689,0.331,303120,0.558,1.96e-06,"2",0.124,-5.506,"1",150.19,"4",0.0985
"193","Burn The House Down - AJR",0,2018,2923531,0.0364,0.454,212374,0.66,0,"0",0.181,-4.357,"1",184.353,"4",0.568
"194","Magnolia (feat. John Mayer) - Eric Clapton",0,2014,5388584,0.651,0.587,221693,0.252,0.136,"0",0.104,-14.222,"1",73.919,"4",0.386
"195","Spillways - Ghost",0,2022,2447436,0.000207,0.575,196947,0.868,0.00294,"5",0.0584,-5.004,"0",128.069,"4",0.804
"196","Can You Feel My Heart - Bring Me The Horizon",0,2013,4856358,0.00201,0.15,228147,0.859,0.194,"4",0.387,-2.827,"0",170.527,"5",0.354
"197","You're Not Alone - Semisonic",0,2020,415658,0.00663,0.462,200520,0.716,0,"2",0.108,-5.224,"1",180.144,"4",0.512
"198","Wish - Nine Inch Nails",0,1992,2320669,0.000407,0.516,226733,0.989,0.355,"7",0.697,-7.206,"1",135.053,"4",0.149
"199","Pink - Aerosmith",0,1997,13501836,0.00994,0.473,235474,0.768,0,"0",0.145,-4.708,"1",171.669,"4",0.826
"200","Jigsaw Falling Into Place - Radiohead",0,2007,8278013,0.108,0.462,248893,0.832,0.00416,"11",0.0741,-6.085,"0",165.653,"4",0.807
"201","I Run For Life - Melissa Etheridge",0,2005,432743,0.0339,0.55,261840,0.757,0,"4",0.193,-5.516,"1",93.956,"4",0.364
"202","To Be Young (Is to Be Sad, Is to Be High) - Ryan Adams",0,2000,560455,0.0748,0.486,184672,0.73,0.000214,"7",0.361,-6.462,"1",92.582,"4",0.421
"203","Hello - Evanescence",0,2003,3873075,0.912,0.416,220360,0.178,0.000138,"11",0.342,-11.428,"0",139.969,"4",0.0699
"204","Serotonia - Highly Suspect",0,2016,568507,0.000372,0.297,351387,0.506,0.000225,"2",0.104,-6.609,"1",140.716,"4",0.11
"205","My Back Pages - Live at Madison Square Garden, New York, NY - October 1992 - Neil Young",0,1993,2756298,0.00907,0.439,279907,0.867,8.93e-06,"4",0.679,-7.722,"1",129.103,"4",0.318
"206","Revelry - Kings of Leon",0,2008,5220652,0.196,0.437,201733,0.748,0.000328,"4",0.158,-6.593,"1",149.834,"4",0.383
"207","From Can to Can't - Dave Grohl",0,2013,211018,0.00173,0.292,290280,0.628,0.000457,"6",0.107,-5.541,"0",135.903,"3",0.235
"208","Set Me Free - Velvet Revolver",0,2004,1430572,0.00028,0.383,246267,0.987,0.758,"2",0.334,-5.328,"0",163.053,"4",0.19
"209","Loving The Alien - Velvet Revolver",0,2004,1430572,0.0167,0.474,347827,0.631,0.153,"0",0.0614,-6.749,"1",122.83,"4",0.1
"210","Oxford Comma - Vampire Weekend",0,2008,1856043,0.111,0.692,195733,0.717,0.00123,"0",0.044,-4.226,"1",119.902,"4",0.973
"211","How Far We've Come - Matchbox Twenty",0,2007,2350118,0.00452,0.566,212253,0.906,0,"0",0.21,-5.092,"1",83,"4",0.787
"212","Sleepwalking - Bring Me The Horizon",0,2013,4856358,0.000187,0.4,230093,0.959,4.21e-06,"2",0.231,-3.258,"0",149.062,"4",0.339
"213","How You Remind Me - Nickelback",0,2001,6339797,0.00135,0.446,223840,0.764,0,"10",0.099,-5.042,"1",172.094,"4",0.543
"214","Howlin' for You - The Black Keys",0,2010,3867868,0.028,0.705,191800,0.735,0.0783,"11",0.112,-6.646,"1",132.627,"4",0.448
"215","You're The One - Greta Van Fleet",0,2018,2341237,0.0125,0.553,266933,0.807,0.00222,"2",0.302,-5.805,"1",151.916,"4",0.575
"216","If I Were Me - Dave Grohl",0,2013,211018,0.0838,0.428,250600,0.461,1.07e-05,"4",0.113,-9.206,"0",92.569,"4",0.361
"217","Can't Let Go - Lucinda Williams",0,1998,227267,0.275,0.625,208733,0.815,0.0288,"7",0.0723,-8.609,"1",94.352,"4",0.919
"218","Shatter - Meredith Brooks",0,1997,117460,0.0289,0.778,239507,0.733,0.000256,"7",0.0292,-6.444,"1",110.928,"4",0.871
"219","Come Pick Me Up - Ryan Adams",0,2000,560455,0.0703,0.581,318102,0.271,0.0048,"10",0.187,-10.963,"1",123.625,"4",0.269
"220","Only - Nine Inch Nails",0,2005,2320669,0.000576,0.7,263093,0.807,0.00488,"9",0.0996,-5.711,"0",112.15,"4",0.963
"221","One More Hour - Tame Impala",0,2020,6574223,0.108,0.647,432560,0.398,0.107,"4",0.148,-8.63,"1",102.029,"4",0.32
"222","Where It's At - Beck",0,1996,1437831,0.171,0.68,330947,0.671,0.0285,"2",0.076,-7.142,"1",96.943,"4",0.532
"223","Molly's Chambers - Kings of Leon",0,2003,5220652,0.222,0.598,134907,0.911,3.84e-06,"11",0.216,-3.97,"1",146.469,"4",0.953
"224","Ænema - TOOL",0,1996,3164317,0.00193,0.335,399267,0.849,0.254,"0",0.0928,-6.927,"1",181.716,"3",0.256
"225","Let Me Go - 3 Doors Down",0,2012,4093688,0.0181,0.48,243053,0.863,0,"1",0.111,-4.914,"0",91.972,"4",0.491
"226","Gimme All Your Love - Alabama Shakes",0,2021,1589737,0.218,0.384,243461,0.57,0.195,"6",0.316,-5.261,"0",101.741,"3",0.189
"227","Epiphany - Mammoth WVH",0,2021,87041,5.25e-05,0.437,268921,0.894,0.0123,"6",0.115,-4.972,"0",165.064,"4",0.438
"228","I Know The End - Phoebe Bridgers",0,2020,1775452,0.33,0.323,344693,0.323,0.0229,"1",0.233,-10.268,"1",111.826,"4",0.256
"229","Mr. Ed - Mammoth WVH",0,2021,87041,3.15e-06,0.456,224309,0.957,0.000132,"9",0.251,-3.396,"1",128.038,"4",0.343
"230","Heart's Content - Brandi Carlile",0,2012,739540,0.724,0.564,214667,0.209,3.99e-05,"3",0.107,-8.922,"1",109.024,"4",0.402
"231","Stinkfist - TOOL",0,1996,3164317,0.000174,0.286,312120,0.728,0.836,"0",0.133,-6.608,"1",171.441,"4",0.467
"232","Red Eyes - The War On Drugs",0,2014,883576,0.00882,0.464,298920,0.814,0.2,"10",0.162,-6.371,"1",161.845,"4",0.467
"233","With Arms Wide Open - New Version With Strings - Creed",0,1999,2952659,0.032,0.32,235267,0.695,0,"0",0.201,-5.756,"1",141.91,"4",0.165
"234","Everybody's Fool - Evanescence",0,2003,3873075,0.00145,0.437,195880,0.835,2.27e-05,"2",0.245,-5.076,"0",95.111,"4",0.296
"235","New York Comeback - Lucinda Williams",0,2023,227267,0.146,0.523,254468,0.637,0.00931,"7",0.0799,-6.168,"1",114.658,"4",0.789
"236","I Know - Fiona Apple",0,1999,1197111,0.944,0.324,295133,0.211,0.0031,"0",0.118,-14.223,"1",146.367,"3",0.199
"237","Pyro - Kings of Leon",0,2010,5220652,0.00757,0.365,250533,0.606,0.052,"1",0.103,-7.174,"0",114.995,"4",0.191
"238","It's Not My Time - 3 Doors Down",0,2008,4093688,0.00133,0.532,241960,0.935,8.37e-06,"0",0.106,-4.798,"1",128.025,"4",0.309
"239","Hard Times - Paramore",0,2017,7803541,0.00647,0.695,182693,0.818,4.87e-06,"5",0.0219,-5.379,"0",119.965,"4",0.916
"240","Night Running - Beck",0,2019,1437831,0.0661,0.601,208133,0.946,1.12e-05,"4",0.388,-2.298,"0",141.929,"4",0.58
"241","The World Is Not Enough - Garbage",0,2007,1101372,0.0421,0.477,237733,0.855,0.0843,"10",0.126,-4.612,"0",85.806,"4",0.462
"242","Just Like Tom Thumb's Blues - Live at Madison Square Garden, New York, NY - October 1992 - Neil Young",0,1993,2756298,0.116,0.338,340293,0.862,0.023,"7",0.984,-8.699,"1",107.228,"4",0.631
"243","Every Day Is Exactly The Same - Nine Inch Nails",0,2005,2320669,0.0217,0.607,294893,0.941,0.071,"0",0.119,-6.163,"1",144.04,"4",0.414
"244","Exit Music (For A Film) - Radiohead",0,1997,8278013,0.224,0.293,267187,0.276,0.122,"4",0.167,-11.357,"0",121.603,"4",0.195
"245","Heat Above - Greta Van Fleet",0,2021,2341237,0.00881,0.338,341255,0.847,0.00105,"3",0.147,-3.692,"1",139.061,"4",0.232
"246","When I'm Gone - Gary Clark Jr.",0,2019,868777,0.165,0.811,228640,0.904,0,"10",0.0753,-1.754,"1",106.482,"4",0.868
"247","No Surprises - Radiohead",0,1997,8278013,0.0577,0.255,229120,0.393,0.00361,"5",0.113,-10.654,"1",76.426,"4",0.118
"248","Heart-Shaped Box - Nirvana",0,1993,17674332,0.199,0.256,281160,0.641,0.0329,"1",0.0853,-10.283,"1",203.006,"4",0.382
"249","History Repeats - Brittany Howard",0,2019,200535,0.439,0.564,184827,0.933,0.338,"2",0.267,-6.287,"1",97.763,"4",0.621
"250","Under The Table - Fiona Apple",0,2020,1197111,0.295,0.64,201352,0.494,4.8e-06,"0",0.248,-8.14,"1",119.854,"4",0.547
"251","Don't Look Back In Anger - Remastered - Oasis",0,1995,8744140,0.0665,0.328,289560,0.936,2.61e-06,"0",0.165,-3.254,"1",162.97,"4",0.31
"252","I'm In Love With You - The 1975",0,2022,6713807,0.169,0.668,262624,0.902,8.74e-05,"2",0.198,-3.924,"1",119.008,"4",0.913
"253","Let It Go - James Bay",0,2014,3902405,0.818,0.546,260533,0.311,1.65e-05,"1",0.107,-10.396,"1",147.464,"4",0.246
"254","We're Going to Be Friends - The White Stripes",0,2001,2855807,0.661,0.534,140179,0.441,0,"7",0.0934,-5.752,"1",97.009,"4",0.439
"255","What's the Trick? - Jack White",0,2022,1309574,0.000867,0.375,214843,0.71,0.00628,"0",0.104,-8.665,"1",97.335,"4",0.559
"256","Oh Caroline - The 1975",0,2022,6713807,0.363,0.646,212568,0.85,4.01e-05,"2",0.0994,-5.466,"1",96.538,"4",0.819
"257","The Perfect Drug - Nine Inch Nails",0,1997,2320669,0.0207,0.627,315440,0.883,0.00346,"5",0.323,-8.988,"0",149.024,"4",0.252
"258","The Man Who Sold The World - Nirvana",0,1994,17674332,0.425,0.483,261093,0.753,0.000142,"1",0.257,-8.937,"0",115.102,"4",0.42
"259","The Drugs Don't Work - The Verve",0,1997,2133985,0.184,0.442,304880,0.52,0,"0",0.154,-8.648,"1",77.437,"4",0.177
"260","Us - James Bay",0,2018,3902405,0.177,0.559,181360,0.473,1.5e-06,"0",0.108,-4.147,"1",69.973,"4",0.341
"261","100 Bad Days - AJR",0,2019,2923531,0.0465,0.626,212783,0.639,0,"10",0.161,-5.62,"1",144.009,"4",0.638
"262","Be My Mistake - The 1975",0,2018,6713807,0.835,0.572,256689,0.155,0.000137,"6",0.0906,-14.405,"1",109.923,"3",0.0949
"263","The Joke - Brandi Carlile",0,2018,739540,0.327,0.236,279373,0.578,0.00015,"7",0.206,-5.477,"1",75.367,"4",0.227
"264","Lux Æterna - Metallica",0,2023,24938241,1.15e-05,0.386,205680,0.996,0.000836,"11",0.116,-2.96,"0",130.573,"4",0.188
"265","Black Gold (2022 Remaster) - Soul Asylum",0,1992,570643,0.00928,0.581,236200,0.581,0.000123,"2",0.287,-7.084,"1",114.886,"4",0.138
"266","Spaceman - The Killers",0,2008,6998448,0.00257,0.525,284547,0.904,0.000648,"4",0.12,-5.488,"1",151.988,"4",0.803
"267","Steady Rain - Warren Zevon",0,2007,383799,0.703,0.52,259853,0.415,0.232,"7",0.21,-10.141,"1",137.593,"4",0.424
"268","A Little Piece of Heaven - Avenged Sevenfold",0,2007,6262809,0.0244,0.486,480707,0.881,0,"2",0.429,-5.623,"0",144.997,"4",0.667
"269","Safari Song - Greta Van Fleet",0,2017,2341237,0.164,0.362,234600,0.928,1.61e-05,"2",0.315,-4.015,"1",175.868,"4",0.678
"270","All I Wanted - Paramore",0,2009,7803541,0.0192,0.494,225787,0.723,0.0322,"6",0.134,-4.559,"0",144.036,"4",0.152
"271","This Time Tomorrow - Brandi Carlile",0,2021,739540,0.841,0.606,206267,0.326,0,"10",0.139,-10.031,"1",91.626,"4",0.414
"272","When I Come Around - Green Day",0,1994,14066349,0.0175,0.531,178000,0.909,0,"11",0.231,-4.236,"1",97.546,"4",0.814
"273","Dance Macabre - Ghost",0,2018,2447436,1.89e-05,0.619,219720,0.696,0.00555,"7",0.38,-6.269,"0",125.986,"4",0.727
"274","My Heart Is Broken - Evanescence",0,2011,3873075,6.38e-05,0.465,269160,0.92,0.0527,"6",0.562,-4.368,"1",96.433,"4",0.233
"275","Hopeless Wanderer - Mumford & Sons",0,2012,6495182,0.0134,0.235,307853,0.578,0.003,"10",0.106,-7.797,"1",79.129,"4",0.194
"276","One Day - The Verve",0,1997,2133985,0.787,0.457,302747,0.487,0.0349,"7",0.13,-8.975,"1",156.142,"4",0.259
"277","Thousand Miles (feat. Brandi Carlile) - Brandi Carlile",0,2023,739540,0.205,0.503,231000,0.722,3.52e-05,"9",0.0845,-7.595,"1",172.006,"4",0.354
"278","All Along the Watchtower - Live at Madison Square Garden, New York, NY - October 1992 - Neil Young",0,1993,2756298,0.0363,0.352,374760,0.967,0.443,"9",0.986,-7.023,"0",114.436,"4",0.225
"279","Crack The Shutters - Snow Patrol",0,2008,2831564,0.000664,0.567,200987,0.72,1.77e-05,"0",0.121,-5.715,"1",106.022,"3",0.342
"280","Overture - Dave Grohl",0,2016,211018,8.08e-05,0.316,235813,0.679,0.709,"9",0.0921,-10.463,"1",138.769,"4",0.488
"281","Only Happy When It Rains - Garbage",0,1995,1101372,3.77e-05,0.511,236533,0.827,0.00103,"1",0.208,-4.55,"0",121.459,"4",0.486
"282","That's What You Get - Paramore",0,2007,7803541,9.43e-05,0.528,220480,0.831,0,"8",0.141,-3.607,"1",131.094,"3",0.632
"283","Closer - Kings of Leon",0,2008,5220652,0.469,0.398,237480,0.768,2.02e-05,"11",0.106,-4.624,"0",108.685,"5",0.235
"284","Secret Smile - Semisonic",0,1998,415658,0.289,0.551,279813,0.516,0.00015,"10",0.0853,-9.587,"0",99.045,"4",0.547
"285","Need The Sun To Break - James Bay",0,2014,3902405,0.102,0.537,224813,0.485,3.83e-06,"2",0.319,-8.131,"1",152.012,"4",0.293
"286","Fly Away - Lenny Kravitz",0,1998,2927212,0.018,0.587,221333,0.872,0,"7",0.622,-5.066,"1",159.925,"4",0.735
"287","Little Black Submarines - The Black Keys",0,2011,3867868,0.161,0.365,251267,0.466,6.68e-06,"2",0.106,-7.514,"1",95.163,"4",0.487
"288","You're To Blame - Mammoth WVH",0,2021,87041,7.25e-05,0.503,246276,0.944,0.000511,"9",0.0547,-4.057,"1",93.544,"4",0.433
"289","Best of You (with Elle King) - Elle King",0,2020,558167,0.0515,0.653,185393,0.623,0,"9",0.0869,-5.989,"1",175.884,"4",0.48
"290","Real Thing - Turnstile",0,2018,416334,0.000311,0.51,116453,0.801,0.895,"1",0.357,-5.03,"1",84.972,"4",0.358
"291","When Legends Rise - Godsmack",0,2018,2965069,0.000236,0.44,172826,0.916,1.94e-05,"4",0.0897,-4.222,"0",124.099,"4",0.401
"292","Mythological Beauty - Big Thief",0,2017,565534,0.304,0.63,306760,0.578,0.206,"10",0.116,-8.544,"1",106.675,"4",0.474
"293","Fast As You Can - Fiona Apple",0,1999,1197111,0.131,0.46,278267,0.772,0.0412,"0",0.0527,-9.233,"1",138.002,"4",0.531
"294","Beautiful Day - U2",0,2000,11148674,0.014,0.539,246400,0.926,0.00136,"2",0.36,-6.495,"1",136.279,"4",0.454
"295","Graceland Too - Phoebe Bridgers",0,2020,1775452,0.871,0.448,236350,0.338,0,"10",0.117,-10.373,"1",149.552,"4",0.351
"296","This Is The Time (Ballast) - NOTHING MORE",0,2014,376861,7.66e-06,0.531,220413,0.979,0.0196,"11",0.0944,-4.686,"0",110.023,"4",0.472
"297","Year Zero - Ghost",0,2013,2447436,0.0304,0.469,350187,0.705,0.0155,"7",0.659,-5.134,"1",122.025,"4",0.137
"298","Mammoth - Mammoth WVH",0,2021,87041,1.23e-05,0.429,270380,0.958,0.00658,"9",0.243,-4.416,"1",97.498,"4",0.135
"299","Dog Days Are Over - Florence + The Machine",0,2009,6399322,0.0416,0.492,251840,0.81,0.00379,"7",0.117,-5.315,"1",149.954,"4",0.245
"300","Decode - Paramore",0,2008,7803541,0.000686,0.28,261960,0.87,0.00608,"10",0.101,-4.219,"0",164.057,"4",0.284
"301","Higher - Creed",0,1999,2952659,5.15e-05,0.459,316733,0.83,0.00014,"2",0.206,-6.254,"1",155.827,"4",0.431
"302","Loser - 3 Doors Down",0,2000,4093688,0.0108,0.493,264800,0.88,2.66e-05,"6",0.226,-6.424,"0",147.913,"4",0.389
"303","Spectrum (Say My Name) - Calvin Harris Remix - Florence + The Machine",0,2012,6399322,0.00225,0.578,218190,0.946,0.00412,"11",0.0966,-3.85,"0",126.092,"4",0.588
"304","Nangs - Tame Impala",0,2015,6574223,0.159,0.536,107533,0.526,0.847,"0",0.128,-9.754,"1",167.608,"4",0.434
"305","Crooked Teeth - Death Cab for Cutie",0,2005,1472671,0.000625,0.579,203733,0.662,3.89e-06,"9",0.117,-6.885,"1",102.951,"4",0.574
"306","High Enough - RAC Remix - K.Flay",0,2017,525860,0.24,0.324,208867,0.681,0.354,"7",0.0783,-4.697,"1",132.993,"3",0.294
"307","Ironic - 2015 Remaster - Alanis Morissette",0,1995,2535001,0.218,0.408,230000,0.582,0,"11",0.159,-8.305,"1",114.926,"5",0.365
"308","HOLIDAY - Turnstile",0,2021,416334,0.00188,0.537,172021,0.858,0.658,"10",0.0716,-7.743,"1",154.996,"4",0.323
"309","Just - Radiohead",0,1995,8278013,0.000401,0.291,234800,0.767,0.012,"7",0.0763,-6.913,"0",175.702,"4",0.359
"310","Campus - Vampire Weekend",0,2008,1856043,0.22,0.639,176467,0.704,0.0872,"7",0.0849,-5.818,"1",162.983,"4",0.645
"311","Sacred The Thread - Greta Van Fleet",0,2023,2341237,0.000866,0.32,321711,0.8,0.0036,"0",0.0942,-2.9,"1",136.397,"4",0.389
"312","By the Way - Red Hot Chili Peppers",0,2002,19718671,0.0264,0.451,216933,0.97,0.00355,"0",0.102,-4.938,"1",122.444,"4",0.198
"313","About You - The 1975",0,2022,6713807,0.312,0.416,326491,0.762,0.804,"2",0.0559,-7.385,"1",95.967,"4",0.461
"314","Short and Sweet - Brittany Howard",0,2019,200535,0.921,0.387,224755,0.198,7.54e-06,"7",0.115,-11.277,"1",88.807,"4",0.193
"315","Shepherd of Fire - Avenged Sevenfold",0,2013,6262809,0.000332,0.576,323800,0.906,0.0614,"2",0.0908,-7.677,"1",127.935,"4",0.211
"316","Burden In My Hand - Soundgarden",0,1996,4010341,0.00534,0.319,290107,0.803,0.0126,"10",0.177,-8.928,"1",183.031,"4",0.589
"317","Spoonman - Soundgarden",0,1994,4010341,2.17e-05,0.457,246920,0.902,0.196,"7",0.258,-5.624,"1",92.711,"4",0.834
"318","BEST TIMES (feat. Lacey Sturm) - NOTHING MORE",0,2023,376861,0.000284,0.306,223978,0.89,0.00011,"7",0.321,-6.144,"0",160.082,"4",0.506
"319","Empty Hearted Town - Warren Zevon",0,2007,383799,0.988,0.364,186467,0.318,0.325,"2",0.152,-13.958,"1",151.547,"4",0.259
"320","Burn It to the Ground - Nickelback",0,2008,6339797,0.000247,0.617,212347,0.922,0.388,"11",0.363,-3.474,"1",132.059,"4",0.6
"321","I'd Do Anything For Love (But I Won't Do That) - Meat Loaf",0,1993,1034322,0.465,0.366,718600,0.561,4.28e-06,"2",0.14,-10.383,"1",150.425,"4",0.363
"322","Love Is Blindness - Jack White",0,2012,1309574,0.0513,0.266,198613,0.74,0.00426,"10",0.162,-7.972,"0",48.578,"4",0.5
"323","Tears in Heaven - Eric Clapton",0,1992,5388584,0.835,0.498,271760,0.242,0.536,"9",0.133,-12.238,"1",153.744,"4",0.312
"324","The Pot - TOOL",0,2006,3164317,0.000148,0.469,381947,0.79,0.372,"7",0.282,-6.889,"1",107.45,"4",0.466
"325","Somedays - Meredith Brooks",0,1997,117460,0.03,0.524,225667,0.895,0.000195,"0",0.347,-5.612,"1",86.251,"4",0.791
"326","Viva La Vida - Coldplay",0,2008,44692754,0.0954,0.486,242373,0.617,3.23e-06,"5",0.109,-7.115,"0",138.015,"4",0.417
"327","Brain Stew - Green Day",0,1995,14066349,0.00133,0.559,193000,0.543,2e-05,"1",0.0577,-5.429,"1",75.958,"4",0.337
"328","Happy Man - Jungle",0,2018,886702,0.198,0.594,191530,0.516,2.91e-05,"9",0.0736,-7.848,"0",108.017,"4",0.154
"329","Gravity Rides Everything - Modest Mouse",0,2000,1382899,0.431,0.395,259840,0.443,0.0352,"4",0.504,-7.972,"1",103.262,"4",0.714
"330","Jenny - NOTHING MORE",0,2014,376861,0.00107,0.525,236600,0.914,1.51e-05,"11",0.545,-7.967,"0",105.955,"4",0.199
"331","High Enough - K.Flay",0,2017,525860,0.0301,0.606,231600,0.62,0.0916,"0",0.167,-5.005,"1",88.984,"4",0.543
"332","Mermaids - Florence + The Machine",0,2023,6399322,0.481,0.29,275319,0.544,0.0032,"9",0.125,-9.192,"0",117.01,"4",0.0803
"333","Human - The Killers",0,2008,6998448,0.00132,0.557,245373,0.8,0.0012,"10",0.0906,-8.477,"1",135.47,"4",0.582
"334","Fuel - Metallica",0,1997,24938241,2.3e-05,0.491,269733,0.951,0.00354,"1",0.0424,-3.775,"1",106.948,"4",0.555
"335","Misery - Soul Asylum",0,1995,570643,4.86e-05,0.38,264360,0.643,2.67e-05,"0",0.244,-8.304,"1",113.674,"4",0.297
"336","Jersey Giant - Elle King",0,2023,558167,0.104,0.431,266320,0.789,0.000255,"10",0.102,-5.209,"1",175.981,"4",0.613
"337","Cape Cod Kwassa Kwassa - Vampire Weekend",0,2008,1856043,0.843,0.853,214707,0.515,0.0652,"2",0.127,-7.134,"1",104.998,"4",0.751
"338","Parabola - TOOL",0,2001,3164317,2.03e-05,0.314,363680,0.929,0.516,"9",0.139,-6.238,"1",100.935,"4",0.285
"339","Fell On Black Days - Soundgarden",0,1994,4010341,0.00152,0.574,283027,0.739,0.000328,"4",0.141,-5.745,"0",101.069,"3",0.514
"340","You'll Never Walk Alone - Brittany Howard",0,2020,200535,0.163,0.437,118476,0.499,0.00337,"5",0.222,-5.49,"1",77.678,"4",0.0555
"341","Lucky Now - Ryan Adams",0,2011,560455,0.671,0.599,172187,0.34,0.000107,"8",0.094,-12.081,"1",120.301,"4",0.346
"342","Still into You - Paramore",0,2013,7803541,0.0098,0.602,216013,0.923,0,"5",0.0561,-3.763,"1",136.01,"4",0.765
"343","If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover"" - James Bay",0,2015,3902405,0.743,0.652,261120,0.18,4.04e-06,"5",0.71,-9.735,"0",115.218,"3",0.328
"344","Keep Me in Your Heart - Warren Zevon",0,2003,383799,0.832,0.427,208027,0.393,1.54e-06,"7",0.0932,-9.142,"1",177.429,"4",0.244
"345","Jesus He Knows Me - Ghost",0,2023,2447436,4.33e-05,0.474,245240,0.962,0.000308,"7",0.113,-4.716,"1",94.991,"4",0.253
"346","Fell In Love With a Girl - The White Stripes",0,2001,2855807,0.713,0.356,110093,0.982,0.00145,"4",0.941,-1.574,"0",95.754,"4",0.299
"347","September - Daughtry",0,2009,2026864,0.0465,0.43,240213,0.703,0,"10",0.0809,-5.52,"1",149.873,"4",0.328
"348","The First Taste - Fiona Apple",0,1996,1197111,0.259,0.682,286960,0.729,0.0105,"6",0.123,-10.293,"1",89.886,"4",0.536
"349","What If - Creed",0,1999,2952659,0.000127,0.433,318093,0.895,1.7e-05,"2",0.358,-5.548,"0",149.896,"4",0.246
"350","Chlorine - Twenty One Pilots",0,2018,23703309,0.0735,0.609,324467,0.674,0.06,"10",0.345,-7.388,"0",90.009,"4",0.315
"351","Cry To Me - John Hiatt",0,2018,202880,0.34,0.654,235840,0.737,1.39e-05,"7",0.125,-4.827,"1",113.242,"4",0.906
"352","Bath Salts - Highly Suspect",0,2015,568507,0.00105,0.249,239813,0.68,0.0128,"9",0.116,-5.444,"1",189.879,"3",0.143
"353","Lo/Hi - The Black Keys",0,2019,3867868,0.0151,0.606,177768,0.679,0.000433,"2",0.0962,-7.445,"1",122.016,"4",0.707
"354","maybe (feat. Bring Me The Horizon) - Bring Me The Horizon",0,2022,4856358,0.000735,0.601,170134,0.92,0,"5",0.0998,-4.802,"0",88.014,"4",0.537
"355","Sound & Color - Alabama Shakes",0,2021,1589737,0.848,0.547,182467,0.43,0.615,"2",0.0825,-7.393,"1",114.732,"4",0.175
"356","A Tip from You to Me - Jack White",0,2022,1309574,0.159,0.5,162858,0.776,0.000583,"9",0.0921,-6.093,"0",152.047,"4",0.512
"357","Crazy - James Michael Mix - Alanis Morissette",0,2005,2535001,0.0373,0.621,218760,0.899,0.0033,"7",0.162,-6.379,"1",104.995,"4",0.482
"358","Telling Stories - Tracy Chapman",0,2000,1469088,0.0688,0.664,237573,0.644,0.000766,"7",0.113,-9.903,"1",122.544,"4",0.276
"359","The Needle and The Damage Done - Live at John F. Kennedy Stadium, 13th July 1985 - Neil Young",0,2018,2756298,0.441,0.469,143921,0.773,5.16e-05,"0",0.987,-6.055,"1",112.718,"4",0.325
"360","The Kiss Of Venus (Dominic Fike) - Paul McCartney",0,2021,4416749,0.627,0.715,143531,0.374,0,"8",0.11,-6.665,"1",89.982,"4",0.633
"361","Lost Cause - Beck",0,2002,1437831,0.26,0.611,227360,0.577,0.000807,"0",0.467,-8.728,"1",119.877,"4",0.214
"362","Champagne Supernova - Remastered - Oasis",0,1995,8744140,0.458,0.293,451320,0.817,0.0509,"2",0.355,-3.786,"1",150.249,"4",0.138
"363","Better Man - Pearl Jam",0,1994,8234883,0.165,0.445,268587,0.671,1.56e-05,"2",0.0791,-7.937,"1",125.712,"4",0.267
"364","Satellite - Dave Matthews Band",0,1994,1879861,0.176,0.711,291640,0.686,1.96e-05,"8",0.0791,-6.484,"1",125.373,"3",0.57
"365","Rain - Creed",0,2009,2952659,0.00209,0.538,208240,0.925,0,"11",0.258,-3.178,"1",98.016,"4",0.443
"366","Catfish Blues - Live - Gary Clark Jr.",0,2014,868777,0.353,0.311,480133,0.67,0.22,"9",0.14,-5.074,"1",127.818,"4",0.289
"367","Hot Patootie - Bless My Soul - Meat Loaf",0,2014,1034322,0.184,0.48,181773,0.821,0.015,"1",0.446,-6.774,"1",162.533,"4",0.867
