"","names","IsWinner","Year","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"41","Room at the Top - Tom Petty and the Heartbreakers",1,1999,2527869,0.162,0.5,300933,0.313,5.49e-05,"0",0.117,-8.447,"1",84.04,"4",0.171
"42","With Arms Wide Open - Creed",1,2000,2952659,0.00425,0.41,274800,0.539,0.00089,"0",0.117,-8.412,"1",138.852,"4",0.141
"43","Californication - Red Hot Chili Peppers",1,2000,19718671,0.0021,0.592,329733,0.767,0.00165,"9",0.127,-2.788,"0",96.483,"4",0.328
"44","Again - Lenny Kravitz",1,2000,2927212,0.0148,0.55,231667,0.804,4.33e-05,"2",0.105,-5.218,"1",79.166,"4",0.789
"45","Kryptonite - 3 Doors Down",1,2000,4093688,0.00664,0.545,233933,0.865,1.1e-05,"11",0.168,-5.708,"0",99.009,"4",0.543
"46","Bent - Matchbox Twenty",1,2000,2350118,0.0404,0.518,256133,0.83,3.85e-06,"6",0.375,-6.814,"0",95.468,"4",0.527
"47","Drops of Jupiter (Tell Me) - Train",1,2001,4293620,0.153,0.481,259933,0.638,0,"0",0.154,-5.862,"1",79.064,"4",0.497
"48","Yellow - Coldplay",1,2001,44692754,0.00239,0.429,266773,0.661,0.000121,"11",0.234,-7.227,"1",173.372,"4",0.285
"49","Walk On - U2",1,2001,11148674,0.00379,0.528,296240,0.832,0.00042,"2",0.153,-6.461,"1",100.158,"4",0.633
"50","Elevation - U2",1,2001,11148674,0.000974,0.578,226627,0.807,0.000416,"9",0.0526,-8.078,"1",110.053,"4",0.384
"51","Jaded - Aerosmith",1,2001,13501836,0.00413,0.518,215824,0.866,1.93e-05,"9",0.246,-4.476,"1",117.983,"4",0.671
"52","The Rising - Bruce Springsteen",1,2002,5615666,0.0655,0.499,287040,0.761,0,"10",0.0895,-6.381,"1",110.186,"4",0.326
"53","When I'm Gone - 3 Doors Down",1,2002,4093688,0.00385,0.53,260333,0.768,0,"7",0.103,-5.611,"1",148.095,"4",0.374
"54","I Stand Alone - Godsmack",1,2002,2965069,2.86e-05,0.217,246040,0.92,0,"8",0.102,-4.479,"1",167.169,"4",0.376
"55","All My Life - Foo Fighters",1,2002,10992790,0.000218,0.577,263440,0.604,0.000579,"5",0.477,-5.703,"1",167.719,"4",0.637
"56","Hero (feat. Josey Scott) - Josey Scott",1,2002,1100,0.00216,0.427,200480,0.843,0,"4",0.179,-4.54,"1",147.387,"3",0.304
"57","Hero (feat. Josey Scott) - Chad Kroeger",1,2002,59256,0.00216,0.427,200480,0.843,0,"4",0.179,-4.54,"1",147.387,"3",0.304
"58","Bring Me To Life - Evanescence",1,2003,3873075,0.00721,0.331,235893,0.943,2.06e-06,"4",0.242,-3.188,"0",94.612,"4",0.296
"59","Calling All Angels - Train",1,2003,4293620,0.0746,0.454,242200,0.839,0,"3",0.279,-5.368,"1",166.166,"4",0.529
"60","Disorder in the House - Warren Zevon",1,2003,383799,0.00242,0.488,275667,0.914,2.11e-06,"9",0.0961,-5.144,"1",145.05,"4",0.545
"61","Seven Nation Army - The White Stripes",1,2003,2855807,0.0039,0.743,232107,0.446,0.118,"4",0.337,-7.807,"0",123.596,"4",0.278
"62","Someday - Nickelback",1,2003,6339797,0.000616,0.455,207467,0.858,0.000247,"11",0.226,-5.659,"0",163.118,"4",0.597
"63","Vertigo - U2",1,2004,11148674,0.000138,0.416,193520,0.819,0.00108,"9",0.147,-3.974,"1",140.083,"4",0.632
"64","Fall to Pieces - Velvet Revolver",1,2004,1430572,0.000429,0.464,271240,0.887,0.333,"6",0.126,-4.65,"1",132.759,"4",0.23
"65","Float On - Modest Mouse",1,2004,1382899,0.013,0.649,208467,0.888,2.23e-06,"6",0.0888,-4.807,"1",100.975,"4",0.553
"66","Somebody Told Me - The Killers",1,2004,6998448,9.04e-05,0.497,197200,0.97,0.000674,"10",0.101,-4.851,"0",138.081,"4",0.689
"67","American Idiot - Green Day",1,2004,14066349,2.64e-05,0.38,176346,0.988,7.86e-05,"1",0.368,-2.042,"1",186.113,"4",0.769
"68","Beverly Hills - Weezer",1,2005,3108370,0.0932,0.693,196093,0.823,0,"5",0.328,-3.761,"1",87.904,"4",0.741
"69","City Of Blinding Lights - U2",1,2005,11148674,0.000234,0.444,345707,0.771,0.0184,"8",0.108,-4.127,"1",139.172,"4",0.198
"70","Devils & Dust - Bruce Springsteen",1,2005,5615666,0.372,0.637,298627,0.443,0.000489,"2",0.547,-6.86,"1",111.07,"4",0.556
"71","Best of You - Foo Fighters",1,2005,10992790,0.000769,0.366,255627,0.94,9.42e-05,"1",0.188,-5.119,"0",130.198,"4",0.369
"72","Speed of Sound - Coldplay",1,2005,44692754,0.00488,0.514,287907,0.898,0.0345,"11",0.0746,-6.765,"0",123.067,"4",0.353
"73","Dani California - Red Hot Chili Peppers",1,2006,19718671,0.0193,0.556,282160,0.913,8.59e-06,"0",0.346,-2.36,"1",96.184,"4",0.73
"74","Someday Baby - Bob Dylan",1,2006,6137375,0.254,0.533,295560,0.59,0.0282,"5",0.204,-9.963,"0",166.033,"4",0.74
"75","Looking for a Leader - Live - Crosby, Stills, Nash & Young",1,2006,1542342,0.334,0.417,235573,0.696,8.25e-06,"8",0.957,-8.789,"0",150.377,"4",0.454
"76","Chasing Cars - Snow Patrol",1,2006,2831564,0.199,0.56,267960,0.595,6.47e-05,"9",0.132,-4.53,"1",104.011,"4",0.144
"77","When You Were Young - The Killers",1,2006,6998448,0.000152,0.467,220427,0.988,0.0484,"11",0.28,-3.313,"1",130.433,"4",0.321
"78","Come On - Lucinda Williams",1,2007,227267,0.0063,0.312,292947,0.529,0.00579,"9",0.608,-8.038,"1",141.376,"4",0.433
"79","It's Not Over - Daughtry",1,2007,2026864,0.0503,0.428,214831,0.919,0,"10",0.245,-3.245,"0",145.927,"4",0.294
"80","Icky Thump - The White Stripes",1,2007,2855807,0.0209,0.417,254533,0.63,0.0134,"9",0.0543,-7.24,"1",94.214,"4",0.341
"81","The Pretender - Foo Fighters",1,2007,10992790,0.000917,0.433,269373,0.959,0,"9",0.028,-4.04,"1",172.984,"4",0.365
"82","Radio Nowhere - Bruce Springsteen",1,2007,5615666,0.00962,0.395,199067,0.955,0,"9",0.36,-3.799,"1",140.219,"4",0.658
"83","Sex on Fire - Kings of Leon",1,2008,5220652,0.00172,0.542,203347,0.905,0.0104,"9",0.136,-5.653,"1",153.398,"4",0.374
"84","Violet Hill - Coldplay",1,2008,44692754,0.0614,0.33,222653,0.58,0.00129,"1",0.115,-7.875,"0",76.093,"4",0.11
"85","House Of Cards - Radiohead",1,2008,8278013,0.269,0.708,328293,0.499,0.57,"5",0.101,-9.644,"1",111.652,"4",0.628
"86","Girls In Their Summer Clothes - Bruce Springsteen",1,2008,5615666,0.0319,0.439,259173,0.76,0,"0",0.119,-4.383,"1",113.102,"4",0.673
"87","I Will Possess Your Heart - Death Cab for Cutie",1,2008,1472671,0.423,0.605,505773,0.619,0.313,"9",0.0732,-8.971,"0",133.074,"4",0.578
"88","Working On a Dream - Bruce Springsteen",1,2009,5615666,0.000462,0.555,208947,0.771,0,"0",0.22,-7.292,"1",110.479,"4",0.71
"89","I'll Go Crazy If I Don't Go Crazy Tonight - U2",1,2009,11148674,0.00896,0.515,253947,0.814,1.31e-06,"0",0.087,-6.025,"1",103.056,"4",0.345
"90","The Fixer - Pearl Jam",1,2009,8234883,7.94e-05,0.515,177560,0.934,0.0047,"11",0.327,-5.079,"0",152.24,"3",0.894
"91","Use Somebody - Kings of Leon",1,2009,5220652,0.00552,0.276,230760,0.715,0.000417,"0",0.201,-5.356,"1",137.028,"4",0.173
"92","21 Guns - Green Day",1,2009,14066349,0.0518,0.268,321093,0.742,0,"5",0.626,-4.939,"1",159.779,"4",0.416
"93","Madness - Muse",1,2012,7517585,0.127,0.502,281040,0.417,0.00419,"10",0.106,-7.665,"1",180.301,"4",0.218
"94","I Will Wait - Mumford & Sons",1,2012,6495182,0.00974,0.478,276720,0.758,0.00717,"1",0.312,-5.4,"1",131.109,"4",0.452
"95","We Take Care of Our Own - Bruce Springsteen",1,2012,5615666,0.000225,0.611,233947,0.881,0.0864,"5",0.252,-6.061,"1",122.977,"4",0.773
"96","Lonely Boy - The Black Keys",1,2012,3867868,0.00417,0.356,193653,0.872,0.00975,"2",0.0997,-7.837,"1",166.3,"4",0.607
"97","Freedom At 21 - Jack White",1,2012,1309574,9.69e-05,0.38,171640,0.763,0.0248,"9",0.592,-11.383,"1",160.611,"4",0.522
"98","Doom And Gloom - The Rolling Stones",1,2013,12971817,0.000596,0.611,238547,0.837,0.0169,"0",0.173,-4.558,"1",131.599,"4",0.783
"99","Panic Station - Muse",1,2013,7517585,0.00224,0.671,184200,0.766,0.000154,"2",0.159,-3.1,"1",104.99,"4",0.726
"100","Cut Me Some Slack - Pat Smear",1,2013,2597,1.42e-05,0.304,278053,0.927,0.00428,"2",0.106,-4.236,"1",165.994,"4",0.619
"101","Cut Me Some Slack - Krist Novoselic",1,2013,6274,1.42e-05,0.304,278053,0.927,0.00428,"2",0.106,-4.236,"1",165.994,"4",0.619
"102","Cut Me Some Slack - Paul McCartney",1,2013,4416749,1.42e-05,0.304,278053,0.927,0.00428,"2",0.106,-4.236,"1",165.994,"4",0.619
"103","Cut Me Some Slack - Dave Grohl",1,2013,211018,1.42e-05,0.304,278053,0.927,0.00428,"2",0.106,-4.236,"1",165.994,"4",0.619
"104","God Is Dead? - Black Sabbath",1,2013,6989919,0.000193,0.379,532267,0.726,0.00266,"3",0.0578,-4.935,"0",120.012,"4",0.178
"105","Ain't Messin 'Round - Gary Clark Jr.",1,2013,868777,0.000751,0.346,249413,0.952,0.0198,"9",0.369,-2.52,"1",140.468,"4",0.615
