"","IsWinner","track_id","artist_id","track_name","year","artist_name","genres","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"24","Nominee","7bglBi4qKMdivsFKdfDi3P","1Mxqyy3pSjf8kZZL4QVxS0","Nice 'n' Easy",1996,"Frank Sinatra","adult standards",6304287,0.62,0.531,165293,0.111,0,0,0.131,-17.905,1,109.253,4,0.47
"25","Nominee","7DH5dXVuQaqcKf9oTy9oUN","2Ev0e8GUIX4u7d9etNLTXg","He'll Have to Go",1997,"Jim Reeves","nashville sound",422605,0.909,0.554,138640,0.186,0.00144,1,0.11,-15.846,1,81.181,3,0.2
"26","Nominee","1qysQ9JXd8gUbs4oLO5oSd","4ktfAENbpoxfR7STEtKBM6","Up A Lazy River",1961,"Si Zentner","easy listening",2636,0.785,0.444,124867,0.685,0.0103,4,0.112,-5.671,0,157.789,4,0.892
"27","Nominee","5p6me2mwQrGfH30eExHn6v","3kUKwTJdH8FuWzF8p6Dg9E","Take Five",2001,"Dave Brubeck","american modern classical",374817,0.545,0.457,323067,0.219,0.00098,8,0.0681,-15.325,0,168.55,5,0.62
"28","Winner","5iGleL7HpEThuuYQ3us2jh","2EExdpjU4SK3xnJHO5paJf","Moon River(Vocal Audrey Hepburn)",1961,"Henry Mancini","adult standards",171877,0.937,0.39,125585,0.0235,0.00128,5,0.099,-19.695,1,133.403,5,0.155
"29","Nominee","61uAY9xdzYiIbYJ07XvKso","1RaDKTFXuy0qA8YV1h9SwC","Big Bad John",1961,"Jimmy Dean","classic country pop",83981,0.596,0.516,182560,0.457,0,8,0.106,-12.609,1,173.934,4,0.455
"30","Nominee","67JIfYdnRNXSSP1uPRmE2j","6eVCRmRG2HcfL4yx77A9WK","Lollipops And Roses",1995,"Jack Jones","adult standards",75210,0.899,0.266,246093,0.163,0.000761,6,0.184,-14.202,1,119.257,4,0.14
"31","Nominee","3XhTHMleuyoQCP8jxOeIhD","0MHgLfmQdutffmvWe5XBTN","A Little Bitty Tear - Single Version",1994,"Burl Ives","american folk revival",86422,0.896,0.58,125400,0.209,0.243,0,0.116,-15.516,1,72.103,4,0.831
"32","Nominee","2ChoPgCQ88DGEDFBwFgZlo","1NAWG3AngjBXyKbmPaz92D","What Kind of Fool Am I",1962,"Sammy Davis Jr.","adult standards",486144,0.96,0.231,202617,0.31,0.000134,11,0.383,-8.959,0,94.009,4,0.161
"33","Nominee","6bZlab0NrNteVppLu9C2Zy","7v4imS0moSyGdXyLgVTIV7","Ramblin' Rose",1962,"Nat King Cole","adult standards",2042679,0.794,0.431,167853,0.379,0,9,0.303,-8.615,1,97.061,4,0.31
